idx,venue_capacity,venue_name,venue_fuzzwuzz_score,venue_city,venue_country,venue_lat,venue_long,venue_dist_from_expected,sk_popularity,last_time_played,days_since_last_played,total_times_played_locally
4084,,Technikum,100,Munich,Germany,48.12379,11.60882,0.17369055954824805,0.032364,2016-02-04,1479,2
4085,,Metropol Theater Bremen,100,Bremen,Germany,53.07803,8.81409,0.0034763251155519037,,,,0
4086,,Altes Wettbüro,100,Dresden,Germany,51.06445,13.74453,0.00696349947265231,,,,0
4087,1600,"Theater, Admiralspalast",100,Berlin,Germany,52.520817,13.3883429,0.006597999994543661,,2017-10-07,868,41
4088,,Kammermusiksaal Philharmonie Grosser Saal,85,Berlin,Germany,52.5096523,13.3694816,0.05833796430918786,,,,0
4089,,Kulturzentrum Schlachthof,100,Bremen,Germany,53.08819,8.81007,0.04607644455324546,0.002001,2019-02-08,379,3
4090,,Musical Dome - Koln,97,Cologne,Germany,50.94373,6.96008,0.17449061451836523,,2019-04-26,302,2
4091,,Bbz Forum,100,Brake,Germany,53.31841,8.45228,1.2896252448995513,,,,0
4092,,Theater an Der Blinke,100,Leer,Germany,53.2261,7.44165,0.0,,,,0
4093,,Max-Schmeling-Halle,100,Berlin,Germany,52.5460128,13.4060405,0.041672733189289025,,,,0
4094,,Theater Der Stadt Diepholz,100,Diepholz,Germany,52.61958,8.47986,7.901584633241233,,,,0
4095,,Die Glocke Großer Saal,100,Bremen,Germany,53.0747299,8.8096868,0.005640222797995784,8.2e-05,2019-02-22,366,2
4096,,Immanuelskirche,100,Wuppertal,Germany,51.27582,7.21621,0.01378922368743561,,,,0
4097,1600,"Theater, Admiralspalast",100,Berlin,Germany,52.520817,13.3883429,0.006597999994543661,,2017-10-07,869,41
4098,450,Logo,100,Hamburg,Germany,53.5645569,9.9837483,0.005881635866802972,0.004626,2014-04-17,2138,1
4099,,Kesselhaus in der Kulturbrauerei,100,Berlin,Germany,52.5403844,13.4141428,0.26666727607687185,0.016991,2018-03-29,696,1
4100,17000,Mercedes-Benz Arena,100,Berlin,Germany,52.50596,13.43874,0.2988977539432504,0.165389,2010-07-08,3518,1
4101,17000,Mercedes-Benz Arena,100,Berlin,Germany,52.50596,13.43874,0.2988977539432504,0.165389,2010-07-08,3518,1
4102,17000,Mercedes-Benz Arena,100,Berlin,Germany,52.50596,13.43874,0.2988977539432504,0.165389,2010-07-08,3518,1
4103,17000,Mercedes-Benz Arena,100,Berlin,Germany,52.50596,13.43874,0.2988977539432504,0.165389,2010-07-08,3518,1
4104,17000,Mercedes-Benz Arena,100,Berlin,Germany,52.50596,13.43874,0.2988977539432504,0.165389,2010-07-08,3518,1
4105,17000,Mercedes-Benz Arena,100,Berlin,Germany,52.50596,13.43874,0.2988977539432504,0.165389,2010-07-08,3518,1
4106,17000,Mercedes-Benz Arena,100,Berlin,Germany,52.50596,13.43874,0.2988977539432504,0.165389,2010-07-08,3518,1
4107,17000,Mercedes-Benz Arena,100,Berlin,Germany,52.50596,13.43874,0.2988977539432504,0.165389,2010-07-08,3518,1
4108,1600,"Theater, Admiralspalast",100,Berlin,Germany,52.520817,13.3883429,0.006597999994543661,,2017-10-07,871,41
4109,700,Batschkapp,100,Frankfurt,Germany,50.13543,8.73895,0.015583596975651428,,2012-10-31,2673,4
4110,,Kammermusiksaal Philharmonie Grosser Saal,85,Berlin,Germany,52.5096523,13.3694816,0.05833796430918786,,,,0
4111,,"Das Zentrum, Europasaal",100,Bayreuth,Germany,49.94286,11.5876,0.0,,,,0
4112,,Kleine Freiheit,100,Osnabrück,Germany,52.270114,8.060896,0.037833014256912684,,,,0
4113,,Die Glocke Großer Saal,100,Bremen,Germany,53.0747299,8.8096868,0.005640222797995784,,,,0
4114,1600,"Theater, Admiralspalast",100,Berlin,Germany,52.520817,13.3883429,0.006597999994543661,,2017-10-07,872,41
4115,700,Batschkapp,100,Frankfurt,Germany,50.13543,8.73895,0.015583596975651428,,2016-03-12,1446,1
4116,,Christuskirche Wilhelmshaven,100,Wilhelmshaven,Germany,53.5175,8.12077,0.052937923219014554,,,,0
4117,,Schelfkirche St. Nikolai,100,Schwerin,Germany,53.6324,11.41703,0.04910733610244227,,2019-08-27,184,7
4118,,Nochtspeicher,100,Hamburg,Germany,53.5469955,9.9613506,0.0005019449188889827,0.001148,,,0
4119,1600,"Theater, Admiralspalast",100,Berlin,Germany,52.520817,13.3883429,0.006597999994543661,,2017-10-07,873,41
4120,,Theater Der Stadt Diepholz,100,Diepholz,Germany,52.61958,8.47986,7.901584633241233,,2019-02-07,385,9
4121,,Schloss Gödens,100,Sande,Germany,53.48666,7.96571,0.07409615763334525,,,,0
4122,,St Trinitatis Kirche,100,Wolfenbüttel,Germany,52.16982,10.54098,0.8719773750303256,,,,0
4123,,Ev. Thomaskirche zu Erfurt,100,Erfurt,Germany,50.96765,11.0272,0.020428947570271496,,2018-10-27,489,7
4124,,Räucherei,100,Kiel,Germany,54.30718,10.14478,0.006835158564092779,,,,0
4125,,Die Glocke Großer Saal,100,Bremen,Germany,53.0747299,8.8096868,0.005640222797995784,0.006201,2019-01-22,402,12
4126,450,Musikzentrum,100,Hannover,Germany,52.39236,9.72487,0.04599398906330594,,,,0
4127,,Music Hall,100,Worpswede,Germany,53.22308,8.92489,0.0,0.085435,2019-03-15,350,1
4128,1600,"Theater, Admiralspalast",100,Berlin,Germany,52.520817,13.3883429,0.006597999994543661,,2017-10-07,874,41
4129,,Jahrhunderthalle,100,Frankfurt,Germany,50.09914,8.51972,0.3831237689917249,2e-06,2015-02-28,1826,7
4130,,Stadthalle Ohz,100,Osterholz-Scharmbeck,Germany,53.26481,8.74222,6.185064450530097,,,,0
4131,,Metropol Theater Bremen,100,Bremen,Germany,53.07803,8.81409,0.0034763251155519037,,,,0
4132,,Forum Großer Saal,94,Leverkusen,Germany,51.0349,6.9897,0.018009706353308966,0.001281,,,0
4133,,Schlachthof Kesselhalle,100,Bremen,Germany,53.08819,8.81007,0.04607644455324546,,,,0
4134,,Petruskirche Kiel Wik,100,Kiel,Germany,54.35794,10.12112,0.9263465549268048,,,,0
4135,400,Musik & Frieden,100,Berlin,Germany,52.5004811,13.4445556,0.05895579155317109,0.001148,,,0
4136,,Ev.-Luth. Lukaskirche,100,Dresden,Germany,51.0318553,13.7337789,0.03404070344463594,,2019-09-14,168,10
4137,,Zwischenbau,100,Rostock,Germany,54.078982,12.114597,0.06505995566728451,,,,0
4138,,Stadthalle Wilhelmshaven,100,Wilhelmshaven,Germany,53.5228857,8.1115766,0.0005283301000441895,,,,0
4139,,Metropol Theater Bremen,100,Bremen,Germany,53.07803,8.81409,0.0034763251155519037,,,,0
4141,950,Gloria Theater,100,Cologne,Germany,50.93756,6.94503,0.00450265463908759,0.022967,2018-04-29,671,1
4142,,Kito Altes Packhaus,100,Bremen,Germany,53.17688,8.63369,1.1043963171350526,0.000943,2018-08-17,561,3
4143,1600,"Theater, Admiralspalast",100,Berlin,Germany,52.520817,13.3883429,0.006597999994543661,,2017-10-07,875,41
4144,,Jahrhunderthalle,100,Frankfurt,Germany,50.09914,8.51972,0.3831237689917249,2e-06,2015-02-28,1827,7
4145,,Die Glocke Großer Saal,100,Bremen,Germany,53.0747299,8.8096868,0.005640222797995784,0.000187,,,0
4146,,"Werk, Backstage",100,Munich,Germany,48.14498,11.52191,0.2882552267167315,0.016991,2018-11-20,466,2
4147,,Kulturetage - Halle,100,Oldenburg,Germany,53.1428223,8.2198087,0.03659632022477068,,,,0
4148,,Palladium,100,Cologne,Germany,50.96932,7.0167,0.07727279545877641,,2013-05-12,2484,1
4149,,Kammermusiksaal Philharmonie,100,Berlin,Germany,52.50965,13.36948,0.05847655662574437,,,,0
4150,,Capitol Offenbach,100,Offenbach,Germany,50.1092015,8.7572802,0.027924278316561593,0.001281,,,0
4151,,Atlantic Grand Hotel,100,Bremen,Germany,53.07558,8.80531,0.06829813074408542,,,,0
4152,,Kulturzentrum Pumpwerk,0,,,,,,,,,0
4153,1600,"Theater, Admiralspalast",100,Berlin,Germany,52.520817,13.3883429,0.006597999994543661,,2017-10-07,876,41
4154,1500,Docks,100,Hamburg,Germany,53.5492771,9.9645585,0.0027605699853501674,0.024434,,,0
4155,,Metropol Theater Bremen,100,Bremen,Germany,53.07803,8.81409,0.0034763251155519037,,,,0
4156,,Neckar Forum,100,Esslingen,Germany,48.7422,9.31308,0.08176854371283354,0.001281,,,0
